State,Company,City,Number of Workers,Received Date,Effective Date,Layoff/Closure,Temporary/Permanent,Union,Region,County,Industry,Notes
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",1,12/14/2022,04/28/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",5,12/14/2022,06/23/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",4,12/14/2022,07/21/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",1,12/14/2022,08/28/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",7,12/14/2022,09/01/2023,Layoff Permanent,,,,Alameda County,,
California,"Borrego Energy, LLC","1814 Franklin St., Suite 700 Oakland CA 94612",5,12/14/2022,09/29/2023,Layoff Permanent,,,,Alameda County,,
California,"United Furniture Industries, Inc.","13133 Innovation Drive, Suite 200 Victorville CA 92394",261,12/14/2022,11/21/2022,Layoff Permanent,,,,San Bernardino County,,
California,Formagrid Inc dba Airtable,"799 Market Street, 8th Floor San Francisco CA 94103",111,12/14/2022,12/15/2022,Layoff Permanent,,,,San Francisco County,,
California,"Doordash, Inc.","1840 Century Park East, 6th Floor Los Angeles CA 90067",75,12/13/2022,03/01/2023,Layoff Permanent,,,,Los Angeles County,,
California,"BuzzFeed Media Enterprises, Inc.",1135 N Highland Ave Los Angeles CA 90038,54,12/13/2022,02/04/2023,Layoff Permanent,,,,Los Angeles County,,
California,Videndum Production Solutions,687 S. Anderson St. Los Angeles CA 90023,14,12/13/2022,01/31/2023,Closure Permanent,,,,Los Angeles County,,
California,"Instil Bio, Inc.",18424 Oxnard Street Tarzana CA 91356,89,12/13/2022,02/06/2023,Layoff Permanent,,,,Los Angeles County,,
California,"Southern California Technical Arts, Inc.",9700 Toledo Way Irvine CA 92618,53,12/13/2022,01/31/2023,Closure Permanent,,,,Orange County,,
California,"Columbia Steel, Inc.",2175 N. Linden Avenue Rialto CA 92377,93,12/13/2022,01/21/2023,Closure Permanent,,,,San Bernardino County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,12,12/13/2022,12/09/2022,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,1,12/13/2022,03/03/2023,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,10,12/13/2022,03/31/2023,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,5,12/13/2022,06/23/2023,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,5,12/13/2022,07/21/2023,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,1,12/13/2022,08/18/2023,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,4,12/13/2022,09/01/2023,Layoff Permanent,,,,San Diego County,,
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,6,12/13/2022,09/29/2023,Layoff Permanent,,,,San Diego County,,
