State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,"Epic Companies, LLC",Houston,8,8/21/2019,11/21/2019,,,,Gulf Coast WDA,Harris,,
Texas,United Structures of America,Houston,73,8/21/2019,9/30/2019,,,,Gulf Coast WDA,Harris,,
Texas,Welocalize,Houston,100,8/16/2019,8/16/2019,,,,Gulf Coast WDA,Harris,,
Texas,Teleperformance USA-Dallas,Dallas,44,8/16/2019,11/1/2019,,,,Dallas County WDA,Dallas,,
Texas,"SpiceWorks, Inc.",Austin,59,8/14/2019,8/14/2019,,,,Capital Area WDA,Travis,,
Texas,Centrica,Houston,23,8/9/2019,10/7/2019,,,,Gulf Coast WDA,Harris,,
Texas,UPS General Services Co.,Coppell,64,8/8/2019,10/1/2019,,,,Dallas County WDA,Dallas,,
Texas,"MV Transportation, Inc-Dallas",Dallas,129,7/30/2019,9/30/2019,,,,Dallas County WDA,Dallas,,
Texas,Southwest Key Programs-Conroe,Conroe,197,7/30/2019,7/30/2019,,,,Gulf Coast WDA,Montgomery,,
Texas,Anjinomoto Foods - Fort Worth Facility,Fort Worth,117,7/30/2019,3/1/2020,,,,Tarrant County WDA,Tarrant,,
Texas,"True Health Diagnostics, LLC",Frisco,16,7/29/2019,7/29/2019,,,,North Central Texas WDA,Denton,,
Texas,Siemens Energy Inc-Houston Service Center,Houston,10,7/24/2019,9/20/2019,,,,Gulf Coast WDA,Harris,,
Texas,Centrica,Houston,54,7/22/2019,8/30/2019,,,,Gulf Coast WDA,Harris,,
Texas,Boeing - El Paso,El Paso,2,7/22/2019,9/20/2019,,,,Borderplexjobs WDA,El Paso,,
Texas,FutureWei-Plano Facility,Plano,38,7/22/2019,9/23/2019,,,,North Central Texas WDA,Collin,,
Texas,Tramontina USA,Sugar Land,108,7/9/2019,9/1/2019,,,,Gulf Coast WDA,Fort Bend,,
Texas,BGIS-San Antonio Data Center,San Antonio,45,7/2/2019,8/31/2019,,,,Alamo WDA,Bexar,,
Texas,Aramark-University of Houston,Houston,115,6/27/2019,8/29/2019,,,,Gulf Coast WDA,Harris,,
